Tour;Length;GiftIds;TotalWeight;Weights
0;2596762.35099779;66128,90431,60369,37147,69572,21808,14647,23554,49287,81895,98527,80194,10033,92459,28139,7867,1264,94010,22174,46996,7856,3374,80013,22896,42128,96086,94856,41996,27596,26242,35787,29970,55854,89995,9640,88925,87760,35388,66008,89936,37128,80720,5556,33335,46221,2103,23658,15625,49408,20675,66386,92069,31818,99076,24044,90017,32870,57629,56140,18197,76329,961,7168,9842,22642,3141,64064,18432,89734,81584,49273,69926,3138,34034,35675,9147,39678,28238;999.520653415;1+16.41913949+27.22791776+7.737304593+10.78186391+1+1+34.65923734+1+1+12.28898084+23.60528353+1+19.99326816+19.75108467+15.21484701+1+8.978119437+9.071247143+5.500972334+30.84496909+50+1.890217678+6.463031231+13.73658574+11.16363518+10.51223906+36.49677805+2.335880728+13.22754091+29.10121492+1+1+22.98236485+20.07465585+13.73905127+17.3269274+32.95985244+19.12759615+2.994509205+37.16940009+1+6.607138656+50+1+20.94200413+3.153897361+1+1+1+11.66110369+23.03267012+1+1+14.6260618+1+26.63248801+16.56228188+18.96529432+1+1+36.06212093+31.24942408+7.526434092+1+1+17.08840144+10.83628593+1+8.941564476+19.43339844+29.77064394+1+21.88238073+7.981076566+1.930863129+1+7.259403636
1;2923322.97009392;46746,93025,87423,73630,83903,14726,86437,72881,82176,48735,86717,99800,63378,47216,32770,25574,5027,97066,32957,70435,16981,53441,86962,95182,92557,65260,58424,93906,30446,49471,7134,12202,19960,59616,69846,67444,94731,95595,27764,6746,89030,36759,34161,50476,5891,51134,25197,83875,79490,23904,20030,27024,60161,59903,1148,51594,71095,80107,74991,31341,82724,77372,91870,68230,8605,49676,87545,39597,20120,46687,73601,96233,33000,99183,5887,24585,48545,79234,95477,10491,89119,4410,51533,73452,64551,35230,68261,28289,47790;999.46945754;25.11187994+22.47206369+13.5945376+16.25840447+1+23.95278107+1+1+1+26.58908057+28.69551847+44.69150207+1+36.80794146+1+21.01317374+37.7147402+1+34.66136421+1+1+1+9.564882578+1+1+9.472762689+13.48600024+7.740467948+1+19.36323407+1+1+4.931059976+8.37908999+1+3.255673642+10.98794058+1+12.7880309+8.764427972+1+50+23.09012731+43.56680078+20.0603996+22.49892045+1+35.2437024+1+1.566487383+1+5.561008755+14.40904168+12.50902658+50+7.994575222+9.757910258+27.66630468+1+43.38402655+2.816962549+30.63264629+1+1+49.75067475+1.416217283+8.50211543+10.68341023+5.992691309+1+1+1+1+1+22.90106786+1+3.035586395+1+10.35985314+1+1+1+1+1.71381066+1+1+5.059531921+1+1
2;2670493.41667044;32850,65177,54171,31594,5712,37142,33551,23204,14068,41649,2407,97516,54697,12455,18462,86684,98298,61570,78833,13686,51935,8257,13988,19720,84023,8861,2410,63510,65386,55310,78740,83884,34927,34833,90979,11483,54108,49657,25731,64825,89893,94730,80241,22512,80398,23964,75550,76679,66347,28321,22392,56035,31980,20080,78971,88958,54547,83808,95172,14206,37539,66961,24151,68018,95128,55328,53191,45099,79487,68448,89319,64129,39919,19059,12572,61379,169,15391,49922,43862,59601,14294;999.054266759;42.50960545+1+3.815635719+10.23877067+23.56070948+16.07770205+30.24550465+1+3.355073546+1+1+24.98918068+1+11.86409755+1+2.990468313+35.59519252+1+20.41067217+1+1+27.50273934+1+14.68328818+1+4.680647672+21.63181987+1+1+6.804848817+1+45.12848049+3.332688958+32.43800573+10.57745954+1+1+27.49358143+1+23.02630013+10.77080716+44.08238609+1+2.173587125+1+13.33964443+12.39917475+9.507852439+26.23946176+10.1240516+6.559291345+29.56886342+1+1+30.19953364+1+37.9695581+22.12792136+35.05632936+5.421148419+1+1+1+27.36964231+1+1.298189273+18.50508051+34.45986567+12.3708623+32.29725488+10.97011144+38.66377376+15.758726+2.314505113+20.50408876+1+1+1+14.05008279+1+1+1
3;2759825.43044655;69169,4151,57448,43025,77527,10217,23531,71376,36655,70371,20092,61256,51719,9406,6423,84407,24671,76960,61608,35536,62834,69504,30906,87946,86936,97441,55661,14357,43279,52381,9127,6008,34414,15371,99455,69929,17029,30996,73262,52934,3975,34027,71845,47390,70195,53326,94537,43002,48967,8426,32779,18282,3797,91669,43358,90692,13305,91908,24530,24809,70434,81409,63221,42457,89309,2027,91049,33921,29523,6739,42986,38662,86180,97648,83036,35635,57602,55330,40410;999.291003776;25.16735977+15.19414896+1+8.835443973+37.92192183+1+25.30099152+3.879380911+37.45856545+1+4.146000093+30.75343048+1+1+5.106667893+1.119436263+36.94010359+18.82455438+22.01373938+29.66419132+1+1+8.98953859+9.955799037+26.11058471+1+1+18.99980414+12.69119754+29.95110736+1+1+4.247194823+1+1+15.84038701+10.84394278+1+1.125880846+1+28.43431324+12.56136735+4.933376946+1+10.42799928+10.55041869+7.084570754+1+1+19.57437354+7.477054853+6.693132015+17.70522321+27.06994394+23.31130478+16.27295177+28.90173586+31.7439455+27.23833996+17.52426432+14.88415285+17.77243327+2.749579653+32.46334676+44.11596371+1+1+1+1+12.28881856+26.86026285+35.72323276+15.73458287+10.21233187+5.078161154+4.665914762+14.15653405+1+1
4;2893416.45196757;53748,8471,39168,3319,62435,15968,49231,95444,41178,67071,50185,89667,87928,44714,37246,74945,1277,49424,68421,46710,82858,50797,54582,35905,15637,4800,54679,56740,90956,36188,99700,65901,48723,13819,21806,54609,83871,34138,87276,4617,95684,91496,72982,60048,42693,53966,31879,88004,16225,44936,72912,47868,47811,99678,90379,51898,20451,75410,41191,98166,84624,80818,53974,42305,97973,26115,63118,44142,9492,66117,79119,74136,64176,71799,99105,24064,69642,77004;999.77171504;3.069120208+50+50+24.99705338+24.22756026+1+50+37.67681342+32.99603009+1+32.12271419+2.443126028+1+1+1+1+44.27028625+10.54608064+1+1+35.30164924+21.2986655+1+1+26.6287989+2.268480672+1+1+10.40100028+50+4.857046483+34.91944132+1+31.67438679+1+1+1+7.046409844+34.72995414+1+16.14826522+1+7.137383818+1+22.45598124+14.9069191+1+18.90011581+1+27.80176617+1+1+33.40692786+1+18.53301655+1+1+48.23615744+15.93917845+4.344690511+1+10.80654116+20.8133507+1+27.51467495+11.61400487+1+8.56297188+25.9292733+1+1+4.944305949+1+1+1+4.301572427+1+1
5;2440726.8894976;65463,38392,58170,94100,74798,33526,81853,31957,9760,75869,74561,9755,85524,38596,17108,92875,83401,6230,36938,32822,88138,12745,1340,90804,83521,60865,85539,82756,45982,7099,15956,38199,29851,26973,14398,98743,41347,33412,76479,94426,22232,82841,40356,64700,48915,20351,30303,97646,48218,86802,81257,40712,15083,93905,12797,25002,45082,83059,88058,70734,12278,7937,87479,15675;999.567928344;1+50+40.69623003+4.266783962+1+1+13.30930927+9.080934077+8.79789223+16.88970791+40.28846267+35.64482405+31.48704591+19.63125691+32.30818342+13.27158328+2.76414484+49.106578+14.66622036+20.79932967+8.471816534+45.94977467+8.948871645+22.27503498+31.93160443+1.434559025+12.65802543+36.75254952+49.03883234+5.457717148+36.01198511+1+32.79187244+7.784170389+5.02401317+1+1+27.10236296+8.173958268+1+11.46109233+36.66223503+13.94521811+1+8.364225402+6.852649739+8.249247971+1+1+32.22917645+27.94922093+1+5.592149285+19.3102874+42.71768068+1+1+1+1+3.468584329+1+1+21.95052604+1
6;2998643.45579691;24309,72537,63277,15933,15129,79777,84813,22628,45906,18906,18866,99370,1785,40403,75198,67005,30434,79827,95771,17970,62805,46584,16228,72399,23537,46619,6103,991,43544,31650,31826,98521,80943,69173,53942,23230,95137,51798,66931,79339,46837,70187,26995,31533,91414,24159,62430,37016,59520,73202,80589,14430,76592,31134,93394,9138,92515,18813,96320,18379,43334,44210,96117,90210,38284,59205,13240,56037,271,42614,13841,6334,45499,27015,53556,44906,25625,45851,76950,79546,5110,35320,44062;999.803104006;8.304842741+8.627451759+1+50+1+1+1+28.54466139+1+19.22826963+6.113872572+10.18094607+1+36.00266401+8.729700759+1+1+15.43814344+22.97149509+35.55540185+4.961690287+10.15963367+27.85662423+10.68662634+27.05259742+1+21.56797596+1+3.109074891+22.35889432+32.47493392+12.22765272+50+14.64827528+17.98243854+2.161134363+7.8995143+1+44.42639817+1+24.7957517+7.207771854+4.062833202+1+17.73925985+7.90755324+1+38.73074336+21.67223709+9.996115274+25.59788404+31.67782353+9.255686196+20.7043724+1+1+3.863251502+11.4346856+28.41100249+10.10099624+3.596416517+19.96193394+1+1+8.513122273+1+10.45859275+7.570291215+3.942496533+5.711293546+6.052903336+11.37664875+35.5468495+19.99043128+7.653243076+1+1+1+1+1+1+1+1
7;3785958.45249242;1562,40138,44797,74614,62703,57835,42464,21018,75815,40541,38035,28845,38926,17977,64207,41475,11763,74970,48351,600,84606,25076,51828,81960,43246,88948,24574,11177,4325,54722,84485,55520,2742,14717,95548,47185,93250,81923,15777,66624,11937,50822,78291,74604,6349,13636,44960,48879,79406,49423,63151,925,80089,11694,91468,52593,61954,83921,41747,63251,12222,13736,69796,5588,49867,38773,86367,61455;999.722445895;1+16.35189075+8.996455122+50+1+1+1+6.527143378+2.849536571+11.34281512+23.01206413+1+1+1.677899105+13.01990683+16.11419362+11.85357204+1+1+12.45692245+9.233035859+1+11.84062442+21.6589712+1+48.1497078+18.17848918+22.45085464+48.51171571+40.16467815+30.95583417+14.88582053+29.42776041+1.871369505+1.350415877+43.36375585+22.16065063+11.48024695+22.12286876+8.727973474+30.11037688+28.36395296+14.85891285+15.867543+12.31608545+27.5319381+1+17.61818333+11.61352714+16.1491091+26.24752798+25.87807851+9.376907675+30.35927862+6.931028579+20.2963681+33.16719404+1+22.93201545+28.89187639+21.47536951+1+1+1+1+1+1+1
8;3793670.87362016;47210,21630,72479,48669,80940,98019,45037,61446,12284,50544,75292,84225,33270,5509,12673,5227,70427,62723,38452,3905,57331,56028,13808,29999,12241,1513,54091,28926,11513,84439,10427,4213,27690,25650,63266,95287,88033,26201,47619,6212,47209,23645,47290,36739,14179,29614,56576,99169,42162,33540,41689,85702,94808,22183,44954,15359,39337,23521,78012,57077,85689,62622,66506,40365,43160,39627,33296,34977,89148,15636,12008,73605,47134;999.527128665;16.43788322+1+4.880734258+23.69017975+22.69816241+14.65359809+28.93158+16.16147048+29.06956681+20.48730393+9.591632328+22.92278841+1+29.52412731+10.23371129+10.1925225+31.45374186+6.052133957+37.30643786+1+50+17.81721064+3.913869691+1+1+1+31.19394635+1+20.22419861+1+1+1+23.70948497+1+10.56306104+13.34631716+22.11441267+1+6.348790015+5.556673745+18.9944874+1+1+5.39128706+11.47787887+32.59034548+15.12211887+25.54827309+1+12.78932376+37.74044457+50+1+22.7474887+23.49934418+16.93234097+22.63910591+27.53335982+1+1+4.332177171+1+1+15.67765537+20.09936474+17.55992655+45.05294658+9.72372022+1+1+1+1+1
9;2807085.65968567;1433,9761,7219,20121,45224,4992,62243,4112,61541,23435,62502,74365,10487,62875,9504,32386,38433,39380,51147,75100,52668,29304,59904,46573,99869,72840,56974,28174,97424,76333,99384,28,48437,13931,45225,6824,92970,11238,71564,86193,52906,84282,99866,76466,37200,47479,54579,9978,49724,48631,69321,27301,53342,31593,2977,11489,34708,67589;999.865609971;10.31326692+32.39238293+24.75805936+38.96296929+22.34608296+35.74105406+30.4532584+32.52954343+19.6924058+32.01977349+20.3325926+8.337128361+1+42.41686735+37.58561529+2.89768688+1+1+11.27131784+1+14.6145161+1+18.04904017+19.76224763+26.02890003+47.44063488+43.85681537+38.89897607+17.60010938+1+14.04342029+1+1+37.2620007+2.466933269+1+12.03962998+41.75045517+9.786035981+34.05989256+48.93588581+15.73100542+1+1+1+8.364195221+1+1+29.24422256+34.49281377+8.205853817+28.92036702+3.582201044+21.93781969+3.741633078+1+1+1
